set_no,name,price_store,price_new,price_used,rating_value,rating_votes,theme_group,theme,subtheme,main_tag,year,volume,weight,piece_cnt,minifig_cnt
858-1,Auto Engines,,,51,4.5,2,Technical,Technic,,,1980,,,242,0
1591-1,Danone Delivery Truck,,129,28,,,Modern day,Town,Special,,1980,,,40,0
1592-1,Town Square - Castle Scene,,1168,191,4.8,4,Modern day,Town,Classic,,1980,,,471,11
1651-2,Maersk Line Container Lorry,,,444,5,1,Modern day,Town,Special,,1980,,,305,1
3602-1,Pram - Lisa Lamb Goes Walking,,,8,,,Junior,Fabuland,,,1980,,,3,1
3604-1,Mark Monkey with his Fruit Stall,,18,7,3,1,Junior,Fabuland,,,1980,,,3,1
3605-1,Ricky Racoon and his Scooter,,18,4,,,Junior,Fabuland,,,1980,,,1,1
3634-1,Charlie Crow's Carry-All,,90,13,3,1,Junior,Fabuland,,,1980,,,17,1
3665-1,Harry Horse and Clara Cow's Ice Cream Shoppe,,,45,4,1,Junior,Fabuland,,,1980,,,36,2
4306-1,Rings,,,,,,Girls,Scala,Jewellery,,1980,,,15,0
4307-1,Rings,,,,,,Girls,Scala,Jewellery,,1980,,,15,0
4336-1,Picture Frame and Mirror,,,,,,Girls,Scala,Jewellery,,1980,,,52,0
6304-1,"Road Plates, Cross",,22,11,4,1,Modern day,Town,Accessories,,1980,,,2,0
6305-1,Trees and Flowers,3.75,28,10,4.3,4,Modern day,Town,Accessories,,1980,,,12,0
6306-1,Road Signs,2.5,49,13,4,3,Modern day,Town,Accessories,,1980,,,12,0
6363-1,Auto Repair Shop,,744,29,4.6,5,Modern day,Town,Shops and Services,,1980,,,141,1
6364-1,Paramedic Unit,,272,35,5,5,Modern day,Town,Medical,,1980,,,137,2
6375-2,Exxon Gas Station,20,,72,4.8,5,Modern day,Town,Shops and Services,,1980,,,267,3
6390-1,Main Street,40,,260,4.6,5,Modern day,Town,Shops and Services,,1980,,,591,8
6609-1,Race Car,,33,3,4.3,3,Modern day,Town,Racing,,1980,,,17,1
6627-1,Convertible,,88,6,5,7,Modern day,Town,Vehicles,,1980,,,37,1
6647-1,Highway Repair,,167,6,4,1,Modern day,Town,Maintenance,,1980,,,55,1
6648-2,Dump Truck,,149,7,4,2,Modern day,Town,Construction,,1980,,,42,1
6678-1,Pneumatic Crane,,88,11,5,2,Modern day,Town,Construction,,1980,,,60,1
6679-2,Exxon Tow Truck,,,18,4.5,2,Modern day,Town,Vehicles,,1980,,,79,1
6690-1,Snorkel Pumper,,163,10,4.5,2,Modern day,Town,Fire,,1980,,,91,2
6821-1,Shovel Buggy,,219,6,3.7,3,Action/Adventure,Space,Classic,,1980,,,28,1
6841-1,Mineral Detector,,294,7,4.5,2,Action/Adventure,Space,Classic,,1980,,,44,1
6861-1,X1 Patrol Craft,4,158,37,5,2,Action/Adventure,Space,Classic,,1980,,,55,1
6901-1,Mobile Lab,,8,64,3.8,5,Action/Adventure,Space,Classic,,1980,,,135,2
6970-1,Beta I Command Base,37,1117,133,5,9,Action/Adventure,Space,Classic,,1980,,,264,4
7710-1,Push-Along Passenger Steam Train,,,107,4.2,5,Modern day,Trains,4.5/12 V,,1980,,,447,5
7720-1,Diesel Freight Train Set,,,116,4,3,Modern day,Trains,4.5/12 V,,1980,,,425,3
7730-1,Electric Goods Train Set,,,314,4.5,2,Modern day,Trains,4.5/12 V,,1980,,,512,2
7740-1,Inter-City Passenger Train Set,,1681,265,5,4,Modern day,Trains,4.5/12 V,,1980,,,786,10
7750-1,Steam Engine with Tender,,,348,4.7,3,Modern day,Trains,4.5/12 V,,1980,,,263,2
7760-1,Diesel Shunter Locomotive,,1126,209,4.7,3,Modern day,Trains,4.5/12 V,,1980,,,150,2
7810-1,Push-Along Steam Engine,,252,66,3,1,Modern day,Trains,4.5/12 V,,1980,,,97,1
7814-1,Crane Wagon,,,53,5,1,Modern day,Trains,4.5/12 V,,1980,,,113,2
7816-1,Shell Tanker Wagon,,,42,2,2,Modern day,Trains,4.5/12 V,,1980,,,120,1
7818-1,Passenger Coach,,179,38,4.7,3,Modern day,Trains,4.5/12 V,,1980,,,114,2
7820-1,Mail Van,,308,81,4,3,Modern day,Trains,4.5/12 V,,1980,,,212,2
7822-1,Railway Station,,,95,4.5,2,Modern day,Trains,4.5/12 V,,1980,,,384,3
7834-1,Level Crossing,,169,41,3,2,Modern day,Trains,4.5/12 V,,1980,,,91,1
7850-1,8 Straight Rails Grey 4.5 V,,25,16,,,Modern day,Trains,4.5/12 V,,1980,,,32,0
7851-1,8 Curved Rails Grey 4.5 V,,12,9,5,1,Modern day,Trains,4.5/12 V,,1980,,,32,0
7852-1,Left and Right Points Manual Grey 4.5 V,,8,7,5,2,Modern day,Trains,4.5/12 V,,1980,,,14,0
7853-1,"Crossing, Grey 4.5 V",,8,7,,,Modern day,Trains,4.5/12 V,,1980,,,5,0
7854-1,8 Straight Electric Rails Grey 12 V,,23,14,4,1,Modern day,Trains,4.5/12 V,,1980,,,8,0
7855-1,8 Curved Electric Rails Grey 12 V,,11,7,,,Modern day,Trains,4.5/12 V,,1980,,,8,0
7856-1,Left and Right Manual Points with Electric Rails Grey 12 V,,44,31,,,Modern day,Trains,4.5/12 V,,1980,,,16,0
7857-1,"Crossing, Electric Rails Grey 12 V",,12,7,,,Modern day,Trains,4.5/12 V,,1980,,,5,0
